id-int,resGirl-string,resIconGirl-string,avatarType-int,resBoy-string,resIconBoy-string
19,boy_face,craft_scroll,,,
109,,,1,full_skin/base,avatar-icon-skin-0
110,,,1,full_skin/base-1,avatar-icon-skin-1
111,,,1,full_skin/base-2,avatar-icon-skin-2
112,,,1,full_skin/base-3,avatar-icon-skin-3
113,,,1,full_skin/base-4,avatar-icon-skin-4
114,,,1,full_skin/base-5,avatar-icon-skin-5
115,,,1,full_skin/base-6,avatar-icon-skin-6
116,,,1,full_skin/base-7,avatar-icon-skin-7
117,,,1,full_skin/base-8,avatar-icon-skin-8
118,,,1,full_skin/base-9,avatar-icon-skin-9
15,,,2,hair/boy_lv0_hair,
34,,,2,hair/boy_fighting_lv2_hair,
39,,,2,hair/boy_fighting_lv3_hair,
44,,,2,hair/boy_lv30_hair,
50,,,2,hair/boy_fighting_lv1_hair,
54,,,2,hair/boy_agriculture_lv1_hair,
55,,,2,hair/boy_collection_lv1_hair,
83,,,2,hair/boy_agriculture_lv2_hair,
84,,,2,hair/boy_agriculture_lv3_hair,
89,,,2,hair/boy_collection_lv2_hair,
98,,,2,hair/boy_collection_lv3_hair,
161,,,2,hair/boy_base_hair,
162,,,2,hair/boy_lv0_hair,
123,,,3,head/eyebrow/boy_eyebrow_01,avatar-icon-eyebrow-1
124,,,3,head/eyebrow/boy_eyebrow_02,avatar-icon-eyebrow-2
125,,,3,head/eyebrow/boy_eyebrow_03,avatar-icon-eyebrow-3
126,,,3,head/eyebrow/boy_eyebrow_04,avatar-icon-eyebrow-4
127,,,3,head/eyebrow/boy_eyebrow_05,avatar-icon-eyebrow-5
128,,,3,head/eyebrow/boy_eyebrow_06,avatar-icon-eyebrow-6
129,,,3,head/eyebrow/boy_eyebrow_07,avatar-icon-eyebrow-7
130,,,3,head/eyebrow/boy_eyebrow_08,avatar-icon-eyebrow-8
131,,,3,head/eyebrow/boy_eyebrow_09,avatar-icon-eyebrow-9
132,,,3,head/eyebrow/boy_eyebrow_10,avatar-icon-eyebrow-10
133,,,4,head/eye/boy_eye_01,avatar-icon-eye-1
134,,,4,head/eye/boy_eye_02,
135,,,4,head/eye/boy_eye_03,avatar-icon-eye-3
136,,,4,head/eye/boy_eye_04,avatar-icon-eye-4
137,,,4,head/eye/boy_eye_05,avatar-icon-eye-5
138,,,4,head/eye/boy_eye_06,avatar-icon-eye-6
139,,,4,head/eye/boy_eye_07,avatar-icon-eye-7
140,,,4,head/eye/boy_eye_08,avatar-icon-eye-8
141,,,4,head/eye/boy_eye_09,avatar-icon-eye-9
143,,,4,head/eye/boy_eye_11,avatar-icon-eye-10
142,,,4,head/eye/boy_eye_10,avatar-icon-eye-11
144,,,4,head/eye/boy_eye_12,avatar-icon-eye-12
18,,,6,boy_face,
13,,,7,coat/boy_base_coat,
35,,,7,coat/boy_fighting_lv2_coat,
40,,,7,coat/boy_fighting_lv3_coat,
45,,,7,coat/boy_lv30_coat,
56,,,7,coat/boy_fighting_lv1_coat,
57,,,7,coat/boy_agriculture_lv1_coat,
58,,,7,coat/boy_collection_lv1_coat,
85,,,7,coat/boy_agriculture_lv2_coat,
90,,,7,coat/boy_collection_lv2_coat,
94,,,7,coat/boy_agriculture_lv3_coat,
99,,,7,coat/boy_collection_lv3_coat,
14,,,8,gloves/boy_base_gloves,
36,,,8,gloves/boy_agriculture_lv2_gloves,
41,,,8,gloves/boy_fighting_lv3_gloves,
46,,,8,gloves/boy_lv30_gloves,
59,,,8,gloves/boy_fighting_lv1_gloves,
60,,,8,gloves/boy_agriculture_lv1_gloves,
61,,,8,gloves/boy_collection_lv1_gloves,
86,,,8,gloves/boy_fighting_lv2_gloves,
91,,,8,gloves/boy_collection_lv2_gloves,
95,,,8,gloves/boy_agriculture_lv3_gloves,
100,,,8,gloves/boy_collection_lv3_gloves,
16,,,9,pants/boy_base_pants,
37,,,9,pants/boy_fighting_lv2_pants,
